Name,Species,Abilities
Reimu Hakurei,Human,"{Flying, Aura Manipulation, Youkai Extermination}"
Marisa Kirisame,Human,"{Using Magic}"
Sanae Kochiya,Human,"{Divine Miracles, Control Over Wind and Rain}"
Yukari Yakumo,Youkai,"{Manipulation of Boundaries}"
Sakuya Izayoi,Youkai,"{Time Manipulation, Precision and Speed}"
Remilia Scarlet,Vampire,"{Control Over Fate, Superhuman Strength}"
Flandre Scarlet,Vampire,"{Destructive Power, Immortality}"
Patchouli Knowledge,Youkai,"{Master of Magic, Library of Forbidden Tomes}"
Hong Meiling,Youkai,"{Martial Arts, Chi Manipulation}"
Koakuma,Youkai,"{Knowledgeable Assistant}"
Iku Nagae,Youkai,"{Control Over the Seas, Weather Manipulation}"
Tenshi Hinanawi,Celestial,"{Control Over Earthquakes}"
Reisen Udongein Inaba,Youkai,"{Illusion Manipulation, Lunatic Red Eyes}"
Kaguya Houraisan,Youkai,"{Eternal Youth, Manipulation of Eternity}"
Mokou Fujiwara,Human,"{Immortality, Manipulation of Fire}"
Nitori Kawashiro,Kappa,"{Technological Expertise, Water Manipulation}"
Aya Shameimaru,Tengu,"{Control Over Wind, Reporting Skills}"
Kanako Yasaka,God,"{Control Over Mountains, Harvest}"
Suwako Moriya,God,"{Frog Deity, Earthquake Control}"
Byakuren Hijiri,Youkai,"{Sealing Techniques, Buddhist Magic}"
Miko Toyosatomimi,Human,"{Divine Spirit Possession}"
Mamizou Futatsuiwa,Youkai,"{Transformation, Disguise}"
Kokoro Hata,Youkai,"{Emotion Manipulation}"
Mononobe no Futo,Human,"{Onbashira, Scroll of Origin}"
Toyosatomimi no Miko,Human,"{Divine Spirit Possession}"
Minamitsu Murasa,Ghost,"{Control Over Shipwrecks}"
Shinmyoumaru Sukuna,Youkai,"{Size Manipulation, Mallet of Luck}"
Raiko Horikawa,Youkai,"{Drumming, Rhythm Manipulation}"
Kagerou Imaizumi,Werewolf,"{Lunar Manipulation, Shapeshifting}"
Wakasagihime,Mermaid,"{Aquatic Abilities}"
Seiran,Moon Rabbit,"{Lunatic Bullet, Inaba Boxing}"
Reisen II,Moon Rabbit,"{Illusion Manipulation, Lunatic Red Eyes}"
Ringo,Moon Rabbit,"{Space Manipulation, UFO Summoning}"
Doremy Sweet,Dream Youkai,"{Dream Manipulation}"
Toki,Dream Youkai,"{Time Manipulation, Dream Manipulation}"
Yumemi Okazaki,Human,"{Space Manipulation, Scientific Knowledge}"
Rikako Asakura,Human,"{Scientific Knowledge, Alchemy}"
Chiyuri Kitashirakawa,Human,"{Time Travel, Space Manipulation}"
Yumeko,Human,"{Space Manipulation, Dimensional Travel}"
Yumemi,Human,"{Space Manipulation, Scientific Knowledge}"
Irusu,Human,"{Teleportation, Invisibility}"